Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1712925295,2024-04-12T12:34:55Z,KLM1341,"52.299892,4.753549",0,0,151
1712925385,2024-04-12T12:36:25Z,KLM1341,"52.29916,4.754314",0,9,151
1712925424,2024-04-12T12:37:04Z,KLM1341,"52.298561,4.75174",0,0,298
1712925434,2024-04-12T12:37:14Z,KLM1341,"52.299065,4.750748",0,17,312
1712925447,2024-04-12T12:37:27Z,KLM1341,"52.29961,4.749488",0,0,286
1712925449,2024-04-12T12:37:29Z,KLM1341,"52.29966,4.748974",0,18,272
1712925454,2024-04-12T12:37:34Z,KLM1341,"52.29966,4.74837",0,18,267
1712925455,2024-04-12T12:37:35Z,KLM1341,"52.299648,4.748154",0,18,267
1712925457,2024-04-12T12:37:37Z,KLM1341,"52.299648,4.747859",0,18,267
1712925461,2024-04-12T12:37:41Z,KLM1341,"52.29966,4.747391",0,18,275
1712925465,2024-04-12T12:37:45Z,KLM1341,"52.299774,4.746857",0,18,295
1712925469,2024-04-12T12:37:49Z,KLM1341,"52.29998,4.746361",0,18,309
1712925474,2024-04-12T12:37:54Z,KLM1341,"52.300312,4.745819",0,18,315
1712925477,2024-04-12T12:37:57Z,KLM1341,"52.300472,4.745541",0,19,315
1712925479,2024-04-12T12:37:59Z,KLM1341,"52.300613,4.745328",0,19,315
1712925482,2024-04-12T12:38:02Z,KLM1341,"52.300766,4.745074",0,0,312
1712925528,2024-04-12T12:38:48Z,KLM1341,"52.305141,4.740522",0,0,2
1712925535,2024-04-12T12:38:55Z,KLM1341,"52.306149,4.740639",0,29,2
1712925542,2024-04-12T12:39:02Z,KLM1341,"52.307037,4.740718",0,29,2
1712925557,2024-04-12T12:39:17Z,KLM1341,"52.309135,4.740925",0,31,2
1712925564,2024-04-12T12:39:24Z,KLM1341,"52.310131,4.74102",0,26,2
1712925572,2024-04-12T12:39:32Z,KLM1341,"52.311157,4.741111",0,27,2
1712925579,2024-04-12T12:39:39Z,KLM1341,"52.312019,4.741192",0,28,2
1712925590,2024-04-12T12:39:50Z,KLM1341,"52.313473,4.741326",0,30,2
1712925596,2024-04-12T12:39:56Z,KLM1341,"52.314323,4.741405",0,26,2
1712925606,2024-04-12T12:40:06Z,KLM1341,"52.315556,4.741503",0,27,2
1712925614,2024-04-12T12:40:14Z,KLM1341,"52.316582,4.741601",0,28,2
1712925621,2024-04-12T12:40:21Z,KLM1341,"52.317513,4.741688",0,28,2
1712925630,2024-04-12T12:40:30Z,KLM1341,"52.318687,4.741797",0,29,2
1712925637,2024-04-12T12:40:37Z,KLM1341,"52.319778,4.741898",0,31,2
1712925645,2024-04-12T12:40:45Z,KLM1341,"52.320885,4.742013",0,26,2
1712925654,2024-04-12T12:40:54Z,KLM1341,"52.321884,4.742088",0,27,2
