Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1713163721,2024-04-15T06:48:41Z,KLM1953,"52.300529,4.745483",0,19,315
1713163734,2024-04-15T06:48:54Z,KLM1953,"52.301453,4.743955",0,21,315
1713163744,2024-04-15T06:49:04Z,KLM1953,"52.302132,4.742832",0,22,315
1713163751,2024-04-15T06:49:11Z,KLM1953,"52.302593,4.742053",0,22,312
1713163754,2024-04-15T06:49:14Z,KLM1953,"52.302826,4.741601",0,22,309
1713163762,2024-04-15T06:49:22Z,KLM1953,"52.30336,4.740738",0,20,323
1713163765,2024-04-15T06:49:25Z,KLM1953,"52.303631,4.740543",0,21,340
1713163769,2024-04-15T06:49:29Z,KLM1953,"52.304123,4.740467",0,0,345
1713163775,2024-04-15T06:49:35Z,KLM1953,"52.304684,4.740505",0,22,2
1713163778,2024-04-15T06:49:38Z,KLM1953,"52.305058,4.740542",0,23,2
1713163784,2024-04-15T06:49:44Z,KLM1953,"52.305714,4.740601",0,24,2
1713163788,2024-04-15T06:49:48Z,KLM1953,"52.306171,4.740658",0,24,2
1713163791,2024-04-15T06:49:51Z,KLM1953,"52.30648,4.740677",0,24,2
1713163794,2024-04-15T06:49:54Z,KLM1953,"52.306835,4.740696",0,24,2
1713163797,2024-04-15T06:49:57Z,KLM1953,"52.30719,4.740734",0,24,2
1713163804,2024-04-15T06:50:04Z,KLM1953,"52.307957,4.740829",0,24,2
1713163812,2024-04-15T06:50:12Z,KLM1953,"52.308781,4.740906",0,24,2
1713163819,2024-04-15T06:50:19Z,KLM1953,"52.309551,4.740973",0,24,2
1713163833,2024-04-15T06:50:33Z,KLM1953,"52.311104,4.741116",0,24,2
1713163840,2024-04-15T06:50:40Z,KLM1953,"52.311893,4.741192",0,24,2
1713163847,2024-04-15T06:50:47Z,KLM1953,"52.312706,4.741268",0,23,2
1713163855,2024-04-15T06:50:55Z,KLM1953,"52.313564,4.741346",0,24,2
1713163862,2024-04-15T06:51:02Z,KLM1953,"52.314369,4.741425",0,23,2
1713163871,2024-04-15T06:51:11Z,KLM1953,"52.315369,4.741523",0,24,2
1713163879,2024-04-15T06:51:19Z,KLM1953,"52.316265,4.741592",0,24,2
1713163886,2024-04-15T06:51:26Z,KLM1953,"52.317036,4.74166",0,23,2
1713163892,2024-04-15T06:51:32Z,KLM1953,"52.317753,4.741726",0,23,2
1713163900,2024-04-15T06:51:40Z,KLM1953,"52.318611,4.741821",0,23,2
1713163909,2024-04-15T06:51:49Z,KLM1953,"52.319572,4.741895",0,24,2
1713163915,2024-04-15T06:51:55Z,KLM1953,"52.320198,4.741954",0,24,2
1713163923,2024-04-15T06:52:03Z,KLM1953,"52.321175,4.74205",0,25,2
1713163930,2024-04-15T06:52:10Z,KLM1953,"52.322025,4.742131",0,25,2
1713163938,2024-04-15T06:52:18Z,KLM1953,"52.322891,4.742203",0,26,2
1713163945,2024-04-15T06:52:25Z,KLM1953,"52.32375,4.742279",0,26,2
1713163952,2024-04-15T06:52:32Z,KLM1953,"52.324574,4.742355",0,26,2
1713163959,2024-04-15T06:52:39Z,KLM1953,"52.325436,4.742445",0,26,2
1713163967,2024-04-15T06:52:47Z,KLM1953,"52.326416,4.742523",0,26,2
1713163974,2024-04-15T06:52:54Z,KLM1953,"52.327343,4.742622",0,26,2
1713163982,2024-04-15T06:53:02Z,KLM1953,"52.328224,4.742699",0,26,2
1713163991,2024-04-15T06:53:11Z,KLM1953,"52.3293,4.742794",0,24,2
1713163998,2024-04-15T06:53:18Z,KLM1953,"52.329987,4.742877",0,19,2
1713164001,2024-04-15T06:53:21Z,KLM1953,"52.33025,4.742851",0,16,354
1713164006,2024-04-15T06:53:26Z,KLM1953,"52.330616,4.742622",0,16,331
1713164011,2024-04-15T06:53:31Z,KLM1953,"52.330872,4.74217",0,17,303
1713164013,2024-04-15T06:53:33Z,KLM1953,"52.330936,4.741955",0,17,295
1713164016,2024-04-15T06:53:36Z,KLM1953,"52.330994,4.741554",0,17,278
1713164019,2024-04-15T06:53:39Z,KLM1953,"52.331013,4.741169",0,16,272
1713164024,2024-04-15T06:53:44Z,KLM1953,"52.331024,4.74064",0,13,270
1713164026,2024-04-15T06:53:46Z,KLM1953,"52.331005,4.740429",0,11,258
1713164030,2024-04-15T06:53:50Z,KLM1953,"52.330925,4.740181",0,9,241
1713164040,2024-04-15T06:54:00Z,KLM1953,"52.330639,4.739971",0,5,191
1713164094,2024-04-15T06:54:54Z,KLM1953,"52.330418,4.739953",0,0,182
1713164100,2024-04-15T06:55:00Z,KLM1953,"52.329697,4.739894",0,38,182
1713164107,2024-04-15T06:55:07Z,KLM1953,"52.327732,4.739704",0,69,182
1713164115,2024-04-15T06:55:15Z,KLM1953,"52.324677,4.739456",150,86,182
1713164122,2024-04-15T06:55:22Z,KLM1953,"52.320946,4.73911",150,124,183
1713164135,2024-04-15T06:55:35Z,KLM1953,"52.312656,4.738325",300,153,182
1713164141,2024-04-15T06:55:41Z,KLM1953,"52.307816,4.73809",550,152,181
1713164147,2024-04-15T06:55:47Z,KLM1953,"52.303391,4.737701",850,151,183
1713164155,2024-04-15T06:55:55Z,KLM1953,"52.298309,4.73732",1150,153,183
1713164163,2024-04-15T06:56:03Z,KLM1953,"52.291897,4.736677",1425,163,183
1713164173,2024-04-15T06:56:13Z,KLM1953,"52.284634,4.736049",1675,178,183
1713164182,2024-04-15T06:56:22Z,KLM1953,"52.276859,4.735343",1875,198,182
1713164191,2024-04-15T06:56:31Z,KLM1953,"52.26796,4.734421",2100,211,183
1713164200,2024-04-15T06:56:40Z,KLM1953,"52.259171,4.733505",2450,221,183
1713164209,2024-04-15T06:56:49Z,KLM1953,"52.249302,4.732518",2850,232,182
1713164218,2024-04-15T06:56:58Z,KLM1953,"52.239849,4.732125",3350,237,178
1713164221,2024-04-15T06:57:01Z,KLM1953,"52.236008,4.732666",3550,240,172
1713164224,2024-04-15T06:57:04Z,KLM1953,"52.233307,4.733505",3700,243,169
1713164227,2024-04-15T06:57:07Z,KLM1953,"52.229324,4.73526",3900,248,163
1713164230,2024-04-15T06:57:10Z,KLM1953,"52.227047,4.73652",4025,252,158
1713164233,2024-04-15T06:57:13Z,KLM1953,"52.222904,4.739581",4225,255,154
1713164236,2024-04-15T06:57:16Z,KLM1953,"52.219788,4.742405",4375,260,149
1713164239,2024-04-15T06:57:19Z,KLM1953,"52.216763,4.74578",4525,265,144
1713164242,2024-04-15T06:57:22Z,KLM1953,"52.213989,4.749527",4675,269,139
1713164245,2024-04-15T06:57:25Z,KLM1953,"52.21122,4.753941",4825,273,134
1713164248,2024-04-15T06:57:28Z,KLM1953,"52.208679,4.758682",4975,278,129
1713164251,2024-04-15T06:57:31Z,KLM1953,"52.206436,4.763718",5100,280,126
1713164254,2024-04-15T06:57:34Z,KLM1953,"52.204285,4.769322",5275,286,120
1713164257,2024-04-15T06:57:37Z,KLM1953,"52.202377,4.774894",5425,288,118
1713164260,2024-04-15T06:57:40Z,KLM1953,"52.200562,4.780544",5575,288,117
1713164263,2024-04-15T06:57:43Z,KLM1953,"52.1987,4.786351",5750,289,117
1713164266,2024-04-15T06:57:46Z,KLM1953,"52.196651,4.792629",5925,290,117
1713164269,2024-04-15T06:57:49Z,KLM1953,"52.194763,4.798584",6100,291,117
1713164273,2024-04-15T06:57:53Z,KLM1953,"52.192787,4.804635",6275,294,117
1713164276,2024-04-15T06:57:56Z,KLM1953,"52.190784,4.810992",6450,294,117
1713164278,2024-04-15T06:57:58Z,KLM1953,"52.189156,4.816171",6625,294,117
1713164282,2024-04-15T06:58:02Z,KLM1953,"52.187531,4.82132",6775,293,116
1713164297,2024-04-15T06:58:17Z,KLM1953,"52.17831,4.853367",7650,303,108
1713164300,2024-04-15T06:58:20Z,KLM1953,"52.177238,4.859881",7825,305,105
1713164303,2024-04-15T06:58:23Z,KLM1953,"52.176498,4.866486",8000,308,98
1713164305,2024-04-15T06:58:25Z,KLM1953,"52.176121,4.871887",8125,309,95
1713164309,2024-04-15T06:58:29Z,KLM1953,"52.175949,4.880524",8325,310,90
1713164312,2024-04-15T06:58:32Z,KLM1953,"52.176178,4.887543",8500,312,86
1713164315,2024-04-15T06:58:35Z,KLM1953,"52.176773,4.894331",8650,313,80
1713164318,2024-04-15T06:58:38Z,KLM1953,"52.177689,4.901199",8825,314,77
1713164321,2024-04-15T06:58:41Z,KLM1953,"52.17897,4.908447",9000,316,73
