Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1713091208,2024-04-14T10:40:08Z,SAS909,"55.627407,12.657228",0,0,270
1713091412,2024-04-14T10:43:32Z,SAS909,"55.627399,12.65758",0,5,275
1713091420,2024-04-14T10:43:40Z,SAS909,"55.627422,12.657902",0,6,284
1713091433,2024-04-14T10:43:53Z,SAS909,"55.62743,12.658518",0,5,323
1713091446,2024-04-14T10:44:06Z,SAS909,"55.62727,12.65889",0,3,351
1713091485,2024-04-14T10:44:45Z,SAS909,"55.627365,12.659125",0,4,14
1713091492,2024-04-14T10:44:52Z,SAS909,"55.627445,12.65934",0,5,30
1713091498,2024-04-14T10:44:58Z,SAS909,"55.627464,12.659558",0,5,50
1713091504,2024-04-14T10:45:04Z,SAS909,"55.627434,12.659812",0,5,70
1713091513,2024-04-14T10:45:13Z,SAS909,"55.627281,12.660079",0,6,106
1713091525,2024-04-14T10:45:25Z,SAS909,"55.627007,12.660141",0,5,149
1713091537,2024-04-14T10:45:37Z,SAS909,"55.626801,12.660349",0,4,146
1713091545,2024-04-14T10:45:45Z,SAS909,"55.626701,12.660563",0,3,140
1713091940,2024-04-14T10:52:20Z,SAS909,"55.626572,12.660807",0,3,135
1713091947,2024-04-14T10:52:27Z,SAS909,"55.62648,12.661014",0,5,132
1713091953,2024-04-14T10:52:33Z,SAS909,"55.626366,12.661223",0,5,132
1713091963,2024-04-14T10:52:43Z,SAS909,"55.626163,12.661421",0,6,146
1713091971,2024-04-14T10:52:51Z,SAS909,"55.625942,12.661452",0,6,163
1713091978,2024-04-14T10:52:58Z,SAS909,"55.625721,12.661443",0,7,174
1713091985,2024-04-14T10:53:05Z,SAS909,"55.625484,12.661493",0,8,174
1713091992,2024-04-14T10:53:12Z,SAS909,"55.625267,12.661618",0,7,165
1713091998,2024-04-14T10:53:18Z,SAS909,"55.625118,12.661847",0,6,151
1713092005,2024-04-14T10:53:25Z,SAS909,"55.625011,12.662086",0,5,140
1713092014,2024-04-14T10:53:34Z,SAS909,"55.62484,12.662301",0,6,143
1713092021,2024-04-14T10:53:41Z,SAS909,"55.624615,12.662263",0,7,168
1713092028,2024-04-14T10:53:48Z,SAS909,"55.624409,12.662034",0,7,194
1713092033,2024-04-14T10:53:53Z,SAS909,"55.624306,12.661826",0,7,210
1713092039,2024-04-14T10:53:59Z,SAS909,"55.624191,12.661597",0,8,219
1713092045,2024-04-14T10:54:05Z,SAS909,"55.62402,12.661327",0,9,219
1713092050,2024-04-14T10:54:10Z,SAS909,"55.623859,12.661099",0,9,219
1713092057,2024-04-14T10:54:17Z,SAS909,"55.623642,12.660766",0,10,222
1713092064,2024-04-14T10:54:24Z,SAS909,"55.623379,12.660349",0,10,222
1713092071,2024-04-14T10:54:31Z,SAS909,"55.62315,12.659933",0,10,225
1713092074,2024-04-14T10:54:34Z,SAS909,"55.623058,12.659704",0,10,230
1713092078,2024-04-14T10:54:38Z,SAS909,"55.623001,12.659475",0,11,239
1713092080,2024-04-14T10:54:40Z,SAS909,"55.622974,12.659211",0,11,247
1713092083,2024-04-14T10:54:43Z,SAS909,"55.622978,12.658997",0,10,255
1713092086,2024-04-14T10:54:46Z,SAS909,"55.62299,12.658739",0,10,264
1713092089,2024-04-14T10:54:49Z,SAS909,"55.62299,12.658503",0,9,267
1713092092,2024-04-14T10:54:52Z,SAS909,"55.62299,12.658289",0,8,267
1713092096,2024-04-14T10:54:56Z,SAS909,"55.62299,12.65806",0,7,267
1713092103,2024-04-14T10:55:03Z,SAS909,"55.62299,12.657709",0,5,267
1713092110,2024-04-14T10:55:10Z,SAS909,"55.62299,12.657473",0,4,270
1713092117,2024-04-14T10:55:17Z,SAS909,"55.622978,12.657228",0,4,270
